Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
135	1	REV_Q5F259	 	 	 	reversed	4.8	626	70373	REVERSED.	4	4	1.000	2	1	0	1	2	1	0	1	2.000	1.000	0.000	1.000
136	1	REV_Q5H8C4	 	 	 	reversed	0.9	3166	359396	REVERSED.	4	4	1.000	2	0	0	2	2	0	0	2	2.000	0.000	0.000	2.000
137	1	REV_Q5RJH6	 	 	 	reversed	1.4	1138	126840	REVERSED.	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
138	1	REV_Q5SSH7	 	 	 	reversed	0.6	2924	328308	REVERSED.	8	8	1.000	2	3	2	1	2	3	2	1	2.000	3.000	2.000	1.000
139	1	REV_Q5U4C1	 	 	 	reversed	1.3	1347	151743	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
140	1	REV_Q5XG71	 	 	 	reversed	0.8	2788	317740	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
141	1	REV_Q5XPI3	 	 	 	reversed	4.3	1314	148650	REVERSED.	6	6	1.000	2	1	3	0	2	1	3	0	2.000	1.000	3.000	0.000
142	1	REV_Q60675	 	 	 	reversed	1.1	3118	343811	REVERSED.	15	15	1.000	6	7	0	2	6	7	0	2	6.000	7.000	0.000	2.000
143	1	REV_Q61035	 	 	REV_Q61035, sp|Q8C1D8|IWS1_MOUSE, sp|Q9CXK9|RBM33_MOUSE	reversed	3.7	509	57432	REVERSED.	5	1	0.200	1	3	0	1	0	1	0	0	0.000	1.222	0.000	0.000
144	1	REV_Q61687	 	 	REV_Q61687, sp|Q9CQW1|YKT6_MOUSE	reversed	0.6	2476	278584	REVERSED.	7	3	0.429	3	1	1	2	1	0	1	1	1.182	0.000	1.000	1.077
145	1	REV_Q61789	 	 	 	reversed	1.3	3330	366223	REVERSED.	4	4	1.000	1	0	0	3	1	0	0	3	1.000	0.000	0.000	3.000
146	1	REV_Q62205	 	 	REV_Q62205, REV_Q9JJV9	reversed	1.2	1984	225810	REVERSED.	2	1	0.500	0	2	0	0	0	1	0	0	0.000	1.333	0.000	0.000
147	1	REV_Q62407	 	 	 	reversed	0.9	3262	354338	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
148	1	REV_Q640L5	 	 	 	reversed	2.7	1455	169739	REVERSED.	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000
149	1	REV_Q64429	 	 	 	reversed	4.6	543	60537	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
150	1	REV_Q64737	 	 	 	reversed	3.2	1010	107502	REVERSED.	3	3	1.000	1	0	0	2	1	0	0	2	1.000	0.000	0.000	2.000
151	1	REV_Q68FE8	 	 	 	reversed	1.6	974	107834	REVERSED.	4	4	1.000	2	1	0	1	2	1	0	1	2.000	1.000	0.000	1.000
152	1	REV_Q68FH0	 	 	 	reversed	2.0	1190	131549	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
153	1	REV_Q69Z23	 	 	 	reversed	1.0	4481	511598	REVERSED.	13	13	1.000	2	2	4	5	2	2	4	5	2.000	2.000	4.000	5.000
154	1	REV_Q6A051	 	 	 	reversed	1.6	1378	152466	REVERSED.	5	5	1.000	1	1	0	3	1	1	0	3	1.000	1.000	0.000	3.000
155	1	REV_Q6A078	 	 	REV_Q6A078, sp|O35435|PYRD_MOUSE, sp|P38647|GRP75_MOUSE, sp|Q99ME9|GTPB4_MOUSE	reversed	1.3	2472	289074	REVERSED.	10	3	0.300	3	1	3	3	1	0	1	1	1.129	0.000	1.105	1.219
156	1	REV_Q6GQW0	 	 	REV_Q6GQW0, sp|Q6IRU5|CLCB_MOUSE	reversed	1.7	1109	121560	REVERSED.	17	4	0.235	4	2	4	7	1	0	1	2	1.188	0.000	1.231	2.714
157	1	REV_Q6GYP7	 	 	 	reversed	0.9	2035	229387	REVERSED.	5	5	1.000	2	2	1	0	2	2	1	0	2.000	2.000	1.000	0.000
158	1	REV_Q6NXL5	 	 	 	reversed	2.2	833	92789	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
159	1	REV_Q6NZP1	 	 	 	reversed	1.8	1069	120895	REVERSED.	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
160	1	REV_Q6P4S8	 	 	 	reversed	2.0	2195	245165	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
161	1	REV_Q6P4T2	 	 	 	reversed	1.2	2136	244544	REVERSED.	5	5	1.000	2	0	2	1	2	0	2	1	2.000	0.000	2.000	1.000
162	1	REV_Q6P5D8	 	 	 	reversed	1.8	2007	225645	REVERSED.	3	3	1.000	0	0	3	0	0	0	3	0	0.000	0.000	3.000	0.000
163	1	REV_Q6PD21	 	 	 	reversed	2.8	503	54707	REVERSED.	4	4	1.000	3	0	0	1	3	0	0	1	3.000	0.000	0.000	1.000
165	1	REV_Q6PGA0	 	 	REV_Q6PGA0, sp|O08539|BIN1_MOUSE	reversed	3.5	451	49779	REVERSED.	10	1	0.100	2	3	3	2	0	0	1	0	0.000	0.000	1.143	0.000
166	1	REV_Q6ZWR6	 	 	 	reversed	1.2	8799	1009914	REVERSED.	12	12	1.000	4	1	4	3	4	1	4	3	4.000	1.000	4.000	3.000
167	1	REV_Q7TMY8	 	 	 	reversed	0.7	4377	482629	REVERSED.	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
168	1	REV_Q7TPH6	 	 	 	reversed	0.7	4749	521226	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
169	1	REV_Q7TS74	 	 	 	reversed	2.1	745	82998	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
170	1	REV_Q80TN7	 	 	 	reversed	1.6	2359	252298	REVERSED.	5	5	1.000	2	1	2	0	2	1	2	0	2.000	1.000	2.000	0.000
171	1	REV_Q80TS3	 	 	 	reversed	1.0	1537	171078	REVERSED.	8	8	1.000	2	2	3	1	2	2	3	1	2.000	2.000	3.000	1.000
172	1	REV_Q80WT5	 	 	 	reversed	2.3	931	101129	REVERSED.	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
173	1	REV_Q80XB4	 	 	 	reversed	0.8	1728	195754	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
174	1	REV_Q80YV3	 	 	 	reversed	1.2	2565	291554	REVERSED.	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
175	1	REV_Q811L6	 	 	 	reversed	0.6	2618	284001	REVERSED.	6	6	1.000	0	2	2	2	0	2	2	2	0.000	2.000	2.000	2.000
176	1	REV_Q8BHL5	 	 	 	reversed	2.6	732	83886	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
177	1	REV_Q8BL99	 	 	 	reversed	1.1	2399	269254	REVERSED.	4	4	1.000	1	1	0	2	1	1	0	2	1.000	1.000	0.000	2.000
178	1	REV_Q8BMG7	 	 	REV_Q8BMG7, sp|Q99LM2|CK5P3_MOUSE	reversed	1.2	1366	152533	REVERSED.	14	2	0.143	3	2	5	4	0	0	1	1	0.000	0.000	1.211	1.176
179	1	REV_Q8BMJ2	 	 	 	reversed	3.7	1178	134191	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
180	1	REV_Q8BML1	 	 	 	reversed	1.3	1951	218039	REVERSED.	8	8	1.000	2	2	2	2	2	2	2	2	2.000	2.000	2.000	2.000
181	1	REV_Q8BPN8	 	 	 	reversed	0.5	3032	338205	REVERSED.	4	4	1.000	0	0	3	1	0	0	3	1	0.000	0.000	3.000	1.000
182	1	REV_Q8BQ48	 	 	 	reversed	0.8	2412	272776	REVERSED.	6	6	1.000	2	2	1	1	2	2	1	1	2.000	2.000	1.000	1.000
183	1	REV_Q8BTF7	 	 	 	reversed	2.5	911	104119	REVERSED.	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
184	1	REV_Q8BTM8	 	 	REV_Q8BTM8, sp|A2BDX3|MOCS3_MOUSE	reversed	1.0	2647	281218	REVERSED.	6	2	0.333	2	1	1	2	1	0	0	1	1.111	0.000	0.000	1.077
185	1	REV_Q8BVU0	 	 	 	reversed	2.1	778	86340	REVERSED.	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
186	1	REV_Q8BW94	 	 	 	reversed	0.5	4083	467771	REVERSED.	3	3	1.000	0	0	3	0	0	0	3	0	0.000	0.000	3.000	0.000
187	1	REV_Q8BX46	 	 	 	reversed	2.0	964	100244	REVERSED.	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
188	1	REV_Q8BZ98	 	 	 	reversed	3.9	863	97189	REVERSED.	5	5	1.000	1	3	0	1	1	3	0	1	1.000	3.000	0.000	1.000
189	1	REV_Q8C0C0	 	 	 	reversed	1.9	836	92258	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
190	1	REV_Q8C0W1	 	 	 	reversed	3.3	906	101997	REVERSED.	3	3	1.000	2	0	0	1	2	0	0	1	2.000	0.000	0.000	1.000
191	1	REV_Q8C6S9	 	 	 	reversed	0.8	3106	353756	REVERSED.	4	4	1.000	1	0	0	3	1	0	0	3	1.000	0.000	0.000	3.000
192	1	REV_Q8C9B9	 	 	 	reversed	1.2	2256	247173	REVERSED.	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
193	1	REV_Q8C9S4	 	 	 	reversed	2.0	917	104900	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
194	1	REV_Q8CCN1	 	 	 	reversed	3.3	673	76366	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
195	1	REV_Q8CCP0	 	 	REV_Q8CCP0, sp|Q9JHU4|DYHC1_MOUSE	reversed	1.6	1064	121187	REVERSED.	3	2	0.667	1	2	0	0	1	1	0	0	1.000	1.003	0.000	0.000
196	1	REV_Q8CDI6	 	 	REV_Q8CDI6, sp|Q9D3E6|STAG1_MOUSE	reversed	2.0	1109	126825	REVERSED.	4	1	0.250	1	1	2	0	0	0	1	0	0.000	0.000	1.200	0.000
197	1	REV_Q8CE72	 	 	 	reversed	0.7	3214	358546	REVERSED.	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
198	1	REV_Q8CG46	 	 	 	reversed	2.1	1101	128812	REVERSED.	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
199	1	REV_Q8CHB8	 	 	 	reversed	1.5	1328	147713	REVERSED.	4	4	1.000	1	2	0	1	1	2	0	1	1.000	2.000	0.000	1.000
200	1	REV_Q8CIR4	 	 	 	reversed	0.8	2028	232886	REVERSED.	5	5	1.000	2	0	1	2	2	0	1	2	2.000	0.000	1.000	2.000
201	1	REV_Q8CJ40	 	 	REV_Q8CJ40, sp|P08032|SPTA1_MOUSE	reversed	1.5	2009	226942	REVERSED.	4	2	0.500	2	0	2	0	1	0	1	0	1.033	0.000	1.037	0.000
202	1	REV_Q8JZV4	 	 	 	reversed	8.5	413	47515	REVERSED.	7	7	1.000	1	3	2	1	1	3	2	1	1.000	3.000	2.000	1.000
203	1	REV_Q8K1K6	 	 	 	reversed	4.0	397	45115	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
204	1	REV_Q8K1X4	 	 	REV_Q8K1X4, sp|Q71KT5|ERG24_MOUSE	reversed	1.2	1134	128904	REVERSED.	14	2	0.143	3	3	5	3	0	0	1	1	0.000	0.000	1.308	1.154
205	1	REV_Q8K2W3	 	 	 	reversed	1.6	948	105958	REVERSED.	16	16	1.000	3	5	5	3	3	5	5	3	3.000	5.000	5.000	3.000
206	1	REV_Q8QZR1	 	 	 	reversed	5.7	454	50565	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
207	1	REV_Q8R0Y6	 	 	 	reversed	3.9	902	98708	REVERSED.	4	4	1.000	0	0	2	2	0	0	2	2	0.000	0.000	2.000	2.000
208	1	REV_Q8R3P7	 	 	 	reversed	4.4	413	47952	REVERSED.	6	6	1.000	4	2	0	0	4	2	0	0	4.000	2.000	0.000	0.000
209	1	REV_Q8R4P5	 	 	 	reversed	3.3	757	87263	REVERSED.	4	4	1.000	2	1	0	1	2	1	0	1	2.000	1.000	0.000	1.000
210	1	REV_Q8VBW5	 	 	 	reversed	3.5	907	100782	REVERSED.	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
211	1	REV_Q8VDM6	 	 	 	reversed	3.4	859	96001	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
212	1	REV_Q91V92	 	 	 	reversed	2.7	1091	119727	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
213	1	REV_Q91W40	 	 	 	reversed	3.7	508	56005	REVERSED.	8	8	1.000	2	3	1	2	2	3	1	2	2.000	3.000	1.000	2.000
214	1	REV_Q91W89	 	 	 	reversed	1.7	1039	115686	REVERSED.	9	9	1.000	3	1	2	3	3	1	2	3	3.000	1.000	2.000	3.000
215	1	REV_Q91XQ0	 	 	 	reversed	0.4	4731	541232	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
216	1	REV_Q91YD4	 	 	 	reversed	2.1	1506	172200	REVERSED.	6	6	1.000	1	1	2	2	1	1	2	2	1.000	1.000	2.000	2.000
217	1	REV_Q91Z67	 	 	REV_Q91Z67, sp|Q61335|BAP31_MOUSE	reversed	3.4	1071	120797	REVERSED.	16	2	0.125	2	5	3	6	0	0	0	2	0.000	0.000	0.000	2.154
218	1	REV_Q91ZU6	 	 	 	reversed	1.1	7393	834208	REVERSED.	7	7	1.000	3	3	1	0	3	3	1	0	3.000	3.000	1.000	0.000
219	1	REV_Q922J3	 	 	 	reversed	2.4	1391	155812	REVERSED.	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000
220	1	REV_Q99J23	 	 	 	reversed	4.5	532	58507	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
221	1	REV_Q99JP6	 	 	 	reversed	4.2	356	39694	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
222	1	REV_Q99KF0	 	 	 	reversed	2.2	999	113496	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
223	1	REV_Q99MV5	 	 	 	reversed	1.5	1187	132790	REVERSED.	4	4	1.000	0	1	1	2	0	1	1	2	0.000	1.000	1.000	2.000
224	1	REV_Q9CU62	 	 	 	reversed	2.6	1233	143233	REVERSED.	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
225	1	REV_Q9CW03	 	 	 	reversed	2.5	1217	141554	REVERSED.	6	6	1.000	1	3	0	2	1	3	0	2	1.000	3.000	0.000	2.000
226	1	REV_Q9CWI3	 	 	 	reversed	5.1	316	35942	REVERSED.	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
227	1	REV_Q9CX83	 	 	REV_Q9CX83, sp|E9Q3L2|PI4KA_MOUSE	reversed	3.3	456	50643	REVERSED.	9	4	0.444	3	1	2	3	2	0	1	1	2.067	0.000	1.023	1.057
228	1	REV_Q9D0C4	 	 	 	reversed	7.0	501	56794	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
229	1	REV_Q9D0F9	 	 	 	reversed	6.6	562	61417	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
230	1	REV_Q9D180	 	 	 	reversed	1.5	1249	144932	REVERSED.	4	4	1.000	1	0	2	1	1	0	2	1	1.000	0.000	2.000	1.000
231	1	REV_Q9D416	 	 	 	reversed	3.8	372	43463	REVERSED.	7	7	1.000	1	1	4	1	1	1	4	1	1.000	1.000	4.000	1.000
232	1	REV_Q9DA42	 	 	 	reversed	12.5	136	15588	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
233	1	REV_Q9DB00	 	 	 	reversed	0.8	2260	248739	REVERSED.	6	6	1.000	1	3	0	2	1	3	0	2	1.000	3.000	0.000	2.000
234	1	REV_Q9DC71	 	 	 	reversed	8.9	258	29463	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
235	1	REV_Q9DD03	 	 	 	reversed	10.9	202	22770	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
236	1	REV_Q9EPU4	 	 	REV_Q9EPU4, sp|Q6P8J2|SAT2_MOUSE	reversed	1.9	1441	160816	REVERSED.	5	1	0.200	2	1	1	1	1	0	0	0	1.091	0.000	0.000	0.000
237	1	REV_Q9JI20	 	 	 	reversed	2.0	745	82186	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
238	1	REV_Q9JJV9	 	 	REV_Q62205, REV_Q9JJV9	reversed	2.5	2019	227574	REVERSED.	3	2	0.667	0	3	0	0	0	2	0	0	0.000	2.667	0.000	0.000
239	1	REV_Q9JLC4	 	 	 	reversed	1.5	1167	129630	REVERSED.	5	5	1.000	1	1	0	3	1	1	0	3	1.000	1.000	0.000	3.000
240	1	REV_Q9JLC8	 	 	 	reversed	0.5	4582	520679	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
241	1	REV_Q9QWI6	 	 	 	reversed	1.2	1250	134857	REVERSED.	17	17	1.000	4	5	5	3	4	5	5	3	4.000	5.000	5.000	3.000
242	1	REV_Q9QXM1	 	 	 	reversed	1.7	983	110585	REVERSED.	5	5	1.000	0	2	2	1	0	2	2	1	0.000	2.000	2.000	1.000
243	1	REV_Q9QXS1	 	 	 	reversed	0.8	4691	534181	REVERSED.	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
244	1	REV_Q9QZ05	 	 	 	reversed	0.9	1648	186485	REVERSED.	5	5	1.000	0	2	2	1	0	2	2	1	0.000	2.000	2.000	1.000
245	1	REV_Q9QZS0	 	 	 	reversed	1.8	1669	161724	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
246	1	REV_Q9QZS7	 	 	 	reversed	2.1	1256	136335	REVERSED.	5	4	0.800	3	0	2	0	2	0	2	0	2.047	0.000	2.000	0.000
247	1	REV_Q9QZZ4	 	 	 	reversed	0.5	3511	395617	REVERSED.	13	13	1.000	2	2	6	3	2	2	6	3	2.000	2.000	6.000	3.000
248	1	REV_Q9R0G7	 	 	 	reversed	2.2	1215	136614	REVERSED.	2	1	0.500	2	0	0	0	1	0	0	0	2.000	0.000	0.000	0.000
249	1	REV_Q9R269	 	 	 	reversed	2.7	1755	204002	REVERSED.	5	5	1.000	0	0	3	2	0	0	3	2	0.000	0.000	3.000	2.000
250	1	REV_Q9WTI7	 	 	 	reversed	2.4	1063	121943	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
251	1	REV_Q9Z0X1	 	 	 	reversed	5.4	612	66765	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
252	1	REV_Q9Z1E4	 	 	 	reversed	3.4	738	83926	REVERSED.	9	9	1.000	1	3	5	0	1	3	5	0	1.000	3.000	5.000	0.000
253	1	REV_Q9Z2K1	 	 	 	reversed	3.8	469	51606	REVERSED.	7	7	1.000	1	0	4	2	1	0	4	2	1.000	0.000	4.000	2.000
254	1	REV_V9GX91	 	 	 	reversed	1.4	2432	261659	REVERSED.	4	4	1.000	0	0	3	1	0	0	3	1	0.000	0.000	3.000	1.000
255	1	sp|A0A0G2JDV3|GBP6_MOUSE	 	 	sp|A0A0G2JDV3|GBP6_MOUSE, sp|A4UUI3|GBP4_MOUSE, tr|Q2V6D6|Q2V6D6_MOUSE, tr|Q8BTS3|Q8BTS3_MOUSE	 	21.8	611	70442	Guanylate-binding protein 6 OS=Mus musculus OX=10090 GN=Gbp6 PE=2 SV=2	50	19	0.380	10	15	14	11	4	8	4	3	6.333	13.600	7.403	7.500
256	1	sp|A0A140LI88|ANR31_MOUSE	 	 	 	 	1.1	1857	206171	Ankyrin repeat domain-containing protein 31 OS=Mus musculus OX=10090 GN=Ankrd31 PE=1 SV=2	6	6	1.000	1	3	1	1	1	3	1	1	1.000	3.000	1.000	1.000
257	1	sp|A0A140LIF8|IRGM2_MOUSE	 	 	sp|A0A140LIF8|IRGM2_MOUSE, sp|Q9DCE9|IRGM3_MOUSE	 	28.4	395	45204	Immunity-related GTPase family M protein 2 OS=Mus musculus OX=10090 GN=Irgm2 PE=1 SV=2	60	13	0.217	15	22	9	14	3	3	3	4	5.000	6.000	3.900	5.905
258	1	sp|A0A1W2P872|NOVA2_MOUSE	 	 	 	 	4.5	492	49066	RNA-binding protein Nova-2 OS=Mus musculus OX=10090 GN=Nova2 PE=1 SV=1	7	7	1.000	0	2	3	2	0	2	3	2	0.000	2.000	3.000	2.000
259	1	sp|A0A5F8MPU3|CTSRT_MOUSE	 	 	 	 	1.0	2282	257617	Cation channel sperm-associated targeting subunit tau OS=Mus musculus OX=10090 GN=C2cd6 PE=1 SV=1	7	7	1.000	1	1	2	3	1	1	2	3	1.000	1.000	2.000	3.000
260	1	sp|A0A7N9VSG0|AFG2B_MOUSE	 	 	 	 	8.6	747	80741	ATPase family gene 2 protein homolog B OS=Mus musculus OX=10090 GN=Afg2b PE=2 SV=1	11	11	1.000	3	2	4	2	3	2	4	2	3.000	2.000	4.000	2.000
261	1	sp|A0JNU3|LPP60_MOUSE	 	 	 	 	36.7	564	60594	60 kDa lysophospholipase OS=Mus musculus OX=10090 GN=Aspg PE=1 SV=1	112	112	1.000	32	28	22	30	32	28	22	30	32.000	28.000	22.000	30.000
262	1	sp|A1IGU4|ARH37_MOUSE	 	 	 	 	6.4	676	76523	Rho guanine nucleotide exchange factor 37 OS=Mus musculus OX=10090 GN=Arhgef37 PE=2 SV=1	5	5	1.000	1	2	1	1	1	2	1	1	1.000	2.000	1.000	1.000
263	1	sp|A1L314|MPEG1_MOUSE	 	 	 	 	20.9	713	78390	Macrophage-expressed gene 1 protein OS=Mus musculus OX=10090 GN=Mpeg1 PE=1 SV=1	31	31	1.000	8	7	10	6	8	7	10	6	8.000	7.000	10.000	6.000
264	1	sp|A2A432|CUL4B_MOUSE	 	 	sp|A2A432|CUL4B_MOUSE, sp|Q3TCH7|CUL4A_MOUSE	 	26.8	970	110698	Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1	86	48	0.558	22	19	19	26	13	11	12	12	16.250	14.259	14.710	17.250
265	1	sp|A2A4P0|DHX8_MOUSE	 	 	sp|A2A4P0|DHX8_MOUSE, sp|O35286|DHX15_MOUSE, tr|G3X8X0|G3X8X0_MOUSE	 	8.4	1244	142570	ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1	17	10	0.588	4	3	5	5	3	2	2	3	3.079	2.048	2.146	3.143
266	1	sp|A2A5R2|BIG2_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE, sp|P63034|CYH2_MOUSE, sp|Q80YW0|CYH4_MOUSE, sp|Q9QX11|CYH1_MOUSE	 	24.6	1792	202237	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1	145	91	0.628	35	39	36	35	21	25	23	22	28.877	32.877	30.239	29.239
267	1	sp|A2A5Z6|SMUF2_MOUSE	 	 	sp|A2A5Z6|SMUF2_MOUSE, sp|P46935|NEDD4_MOUSE, sp|Q8CFI0|NED4L_MOUSE	 	11.9	748	86174	E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1	11	9	0.818	3	5	1	2	2	5	1	1	2.048	5.000	1.000	1.043
268	1	sp|A2A690|TANC2_MOUSE	 	 	sp|A2A690|TANC2_MOUSE, sp|Q3UHC2|LRRK1_MOUSE	 	1.8	1994	220261	Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1	8	6	0.750	1	1	4	2	1	1	3	1	1.000	1.000	3.750	2.000
269	1	sp|A2A6A1|GPTC8_MOUSE	 	 	 	 	4.3	1505	164985	G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1	9	9	1.000	0	3	4	2	0	3	4	2	0.000	3.000	4.000	2.000
270	1	sp|A2A6Q5|CDC27_MOUSE	 	 	 	 	14.1	825	91841	Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1	26	26	1.000	6	5	6	9	6	5	6	9	6.000	5.000	6.000	9.000
271	1	sp|A2A791|ZMYM4_MOUSE	 	 	sp|A2A791|ZMYM4_MOUSE, sp|Q9CU65|ZMYM2_MOUSE	 	1.8	1549	172436	Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1	3	2	0.667	0	2	0	1	0	2	0	0	0.000	2.000	0.000	0.000
272	1	sp|A2A7S8|NHSL3_MOUSE	 	 	 	 	20.0	1013	104841	NHS-like protein 3 OS=Mus musculus OX=10090 GN=Nhsl3 PE=1 SV=1	34	34	1.000	7	6	11	10	7	6	11	10	7.000	6.000	11.000	10.000
273	1	sp|A2A8L1|CHD5_MOUSE	 	 	sp|A2A8L1|CHD5_MOUSE, sp|Q6PDQ2|CHD4_MOUSE, tr|B1AR17|B1AR17_MOUSE	 	7.3	1946	222512	Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus OX=10090 GN=Chd5 PE=1 SV=1	58	5	0.086	11	15	19	13	0	1	4	0	0.466	1.593	4.636	0.551
274	1	sp|A2A8L5|PTPRF_MOUSE	 	 	sp|A2A8L5|PTPRF_MOUSE, sp|Q64487|PTPRD_MOUSE	 	20.8	1898	211487	Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1	87	65	0.747	20	19	22	26	15	13	18	19	17.143	15.690	19.846	22.500
275	1	sp|A2A8U2|TM201_MOUSE	 	 	 	 	3.8	664	72499	Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1	7	7	1.000	2	0	3	2	2	0	3	2	2.000	0.000	3.000	2.000
276	1	sp|A2A8Z1|OSBL9_MOUSE	 	 	sp|A2A8Z1|OSBL9_MOUSE, sp|S4R1M9|OSB10_MOUSE	 	17.5	736	83108	Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1	41	37	0.902	12	13	7	9	11	12	6	8	12.000	13.000	6.857	9.000
