Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
137	1	REV_Q9JIB3 (+2)	REV_Q9JIB3&REV_Q9JIB6&REV_Q9R016	 	 	reversed	1.2	1402	159662	REVERSED.	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
138	1	REV_Q9JIX8	 	 	 	reversed	2.9	1338	150717	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
139	1	REV_Q9JJG0	 	 	REV_Q9JJG0, sp|Q3ULJ0|GPD1L_MOUSE	reversed	1.2	1149	124129	REVERSED.	5	1	0.200	2	2	1	0	1	0	0.000	1.048	0.000
140	1	REV_Q9JLC4	 	 	 	reversed	1.5	1167	129630	REVERSED.	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
141	1	REV_Q9QWI6	 	 	 	reversed	1.2	1250	134857	REVERSED.	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
142	1	REV_Q9QZQ1	 	 	 	reversed	2.9	1820	206496	REVERSED.	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
143	1	REV_Q9QZZ4	 	 	 	reversed	0.5	3511	395617	REVERSED.	6	6	1.000	2	3	1	2	3	1	2.000	3.000	1.000
144	1	REV_Q9Z188	 	 	 	reversed	5.7	629	69177	REVERSED.	8	8	1.000	4	3	1	4	3	1	4.000	3.000	1.000
145	1	REV_V9GX91	 	 	 	reversed	1.2	2432	261659	REVERSED.	9	9	1.000	1	4	4	1	4	4	1.000	4.000	4.000
146	1	sp|A0A0G2JDV3|GBP6_MOUSE	 	 	sp|A0A0G2JDV3|GBP6_MOUSE, tr|Q2V6D6|Q2V6D6_MOUSE, tr|Q8BTS3|Q8BTS3_MOUSE	 	17.0	611	70442	Guanylate-binding protein 6 OS=Mus musculus OX=10090 GN=Gbp6 PE=2 SV=2	32	17	0.531	13	9	10	6	5	6	9.472	8.333	8.303
147	1	sp|A0A140LIF8|IRGM2_MOUSE	 	 	sp|A0A140LIF8|IRGM2_MOUSE, sp|Q9DCE9|IRGM3_MOUSE	 	26.6	395	45204	Immunity-related GTPase family M protein 2 OS=Mus musculus OX=10090 GN=Irgm2 PE=1 SV=2	31	12	0.387	12	10	9	5	4	3	6.750	5.500	4.800
148	1	sp|A0A7N9VSG0|AFG2B_MOUSE	 	 	 	 	2.8	747	80741	ATPase family gene 2 protein homolog B OS=Mus musculus OX=10090 GN=Afg2b PE=2 SV=1	4	4	1.000	2	1	1	2	1	1	2.000	1.000	1.000
149	1	sp|A0JNU3|LPP60_MOUSE	 	 	 	 	30.3	564	60594	60 kDa lysophospholipase OS=Mus musculus OX=10090 GN=Aspg PE=1 SV=1	66	66	1.000	22	22	22	22	22	22	22.000	22.000	22.000
150	1	sp|A1L314|MPEG1_MOUSE	 	 	 	 	12.8	713	78390	Macrophage-expressed gene 1 protein OS=Mus musculus OX=10090 GN=Mpeg1 PE=1 SV=1	20	20	1.000	4	8	8	4	8	8	4.000	8.000	8.000
151	1	sp|A1L3P4|SL9A6_MOUSE	 	 	 	 	8.3	702	77952	Sodium/hydrogen exchanger 6 OS=Mus musculus OX=10090 GN=Slc9a6 PE=1 SV=1	8	8	1.000	3	1	4	3	1	4	3.000	1.000	4.000
152	1	sp|A2A432|CUL4B_MOUSE	 	 	sp|A2A432|CUL4B_MOUSE, sp|Q3TCH7|CUL4A_MOUSE	 	20.1	970	110698	Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1	59	28	0.475	18	23	18	8	10	10	11.478	15.652	13.077
153	1	sp|A2A4P0|DHX8_MOUSE	 	 	sp|A2A4P0|DHX8_MOUSE, sp|O35286|DHX15_MOUSE, tr|G3X8X0|G3X8X0_MOUSE, tr|Q80X98|Q80X98_MOUSE	 	10.5	1244	142570	ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1	23	17	0.739	8	6	9	6	4	7	6.682	4.600	7.768
154	1	sp|A2A5R2|BIG2_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE, sp|Q9QX11|CYH1_MOUSE	 	21.7	1792	202237	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1	101	59	0.584	35	30	36	21	16	22	28.916	22.400	28.676
155	1	sp|A2A5Z6|SMUF2_MOUSE	 	 	sp|A2A5Z6|SMUF2_MOUSE, sp|P46935|NEDD4_MOUSE, sp|Q8CFI0|NED4L_MOUSE	 	8.0	748	86174	E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1	8	6	0.750	1	3	4	0	3	3	0.000	3.000	3.100
156	1	sp|A2A6A1|GPTC8_MOUSE	 	 	 	 	3.5	1505	164985	G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1	8	8	1.000	2	4	2	2	4	2	2.000	4.000	2.000
157	1	sp|A2A6Q5|CDC27_MOUSE	 	 	 	 	8.7	825	91841	Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1	13	13	1.000	3	6	4	3	6	4	3.000	6.000	4.000
158	1	sp|A2A7S8|NHSL3_MOUSE	 	 	 	 	13.0	1013	104841	NHS-like protein 3 OS=Mus musculus OX=10090 GN=Nhsl3 PE=1 SV=1	18	18	1.000	6	5	7	6	5	7	6.000	5.000	7.000
159	1	sp|A2A8L5|PTPRF_MOUSE	 	 	sp|A2A8L5|PTPRF_MOUSE, sp|Q64487|PTPRD_MOUSE	 	21.4	1898	211487	Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1	58	48	0.828	21	13	24	17	11	20	19.345	11.846	22.424
160	1	sp|A2A8U2|TM201_MOUSE	 	 	 	 	3.9	664	72499	Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
161	1	sp|A2A8Z1|OSBL9_MOUSE	 	 	 	 	18.6	736	83108	Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1	30	30	1.000	9	11	10	9	11	10	9.000	11.000	10.000
162	1	sp|A2A974|CP4CB_MOUSE	 	 	sp|A2A974|CP4CB_MOUSE, sp|O35728|CP4AE_MOUSE, sp|O88833|CP4AA_MOUSE, sp|Q91WL5|CP4CA_MOUSE, tr|A0A087WPC3|A0A087WPC3_MOUSE, tr|F8WGU9|F8WGU9_MOUSE	 	33.1	508	58309	Cytochrome P450 4A12B OS=Mus musculus OX=10090 GN=Cyp4a12b PE=1 SV=1	100	10	0.100	30	38	32	3	4	3	6.853	8.785	6.979
163	1	sp|A2AAY5|SPD2B_MOUSE	 	 	sp|A2AAY5|SPD2B_MOUSE, sp|O89032|SPD2A_MOUSE	 	1.7	908	101516	SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1	6	3	0.500	2	2	2	1	1	1	1.250	2.000	2.000
164	1	sp|A2AB59|RHG27_MOUSE	 	 	 	 	2.1	869	97047	Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
165	1	sp|A2ABU4|MYOM3_MOUSE	 	 	sp|A2ABU4|MYOM3_MOUSE, sp|Q3UIA2|RHG17_MOUSE	 	2.6	1439	161776	Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1	5	3	0.600	1	2	2	0	2	1	0.000	2.000	1.167
166	1	sp|A2ACP1|TT39A_MOUSE	 	 	 	 	7.4	578	66126	Tetratricopeptide repeat protein 39A OS=Mus musculus OX=10090 GN=Ttc39a PE=2 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
167	1	sp|A2ADA5|PUSL1_MOUSE	 	 	 	 	15.5	291	31992	tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1 PE=1 SV=1	5	5	1.000	3	2	0	3	2	0	3.000	2.000	0.000
168	1	sp|A2ADY9|DDI2_MOUSE	 	 	 	 	45.4	399	44590	Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1	68	68	1.000	24	21	23	24	21	23	24.000	21.000	23.000
169	1	sp|A2AF47|DOC11_MOUSE	 	 	sp|A2AF47|DOC11_MOUSE, sp|Q8BIK4|DOCK9_MOUSE	 	0.8	2073	237769	Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1	2	1	0.500	0	0	2	0	0	1	0.000	0.000	2.000
170	1	sp|A2AGT5|CKAP5_MOUSE	 	 	 	 	18.2	2032	225632	Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1	72	72	1.000	26	20	26	26	20	26	26.000	20.000	26.000
171	1	sp|A2AIL4|NDUF6_MOUSE	 	 	 	 	5.7	333	38362	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Mus musculus OX=10090 GN=Ndufaf6 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
172	1	sp|A2AIV2|VIR_MOUSE	 	 	 	 	1.8	1811	201437	Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
173	1	sp|A2AJ15|MA1B1_MOUSE	 	 	 	 	11.1	658	75149	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus OX=10090 GN=Man1b1 PE=1 SV=1	17	17	1.000	4	6	7	4	6	7	4.000	6.000	7.000
174	1	sp|A2AJ88|PLPL7_MOUSE	 	 	sp|A2AJ88|PLPL7_MOUSE, sp|Q3TRM4|PLPL6_MOUSE	 	7.1	1352	150493	Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7 PE=1 SV=1	16	12	0.750	6	6	4	5	5	2	5.417	5.455	2.571
175	1	sp|A2AJI0|MA7D1_MOUSE	 	 	 	 	8.6	846	93275	MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1	11	11	1.000	4	4	3	4	4	3	4.000	4.000	3.000
176	1	sp|A2AJK6|CHD7_MOUSE	 	 	sp|A2AJK6|CHD7_MOUSE, sp|E9PZM4|CHD2_MOUSE, sp|P40201|CHD1_MOUSE, sp|Q09XV5|CHD8_MOUSE, sp|Q8BYH8|CHD9_MOUSE	 	1.9	2986	334057	Chromodomain-helicase-DNA-binding protein 7 OS=Mus musculus OX=10090 GN=Chd7 PE=1 SV=1	7	1	0.143	4	1	2	0	0	1	0.000	0.000	1.333
177	1	sp|A2AJL3|FGGY_MOUSE	 	 	 	 	37.1	552	60336	FGGY carbohydrate kinase domain-containing protein OS=Mus musculus OX=10090 GN=Fggy PE=1 SV=1	98	98	1.000	35	27	36	35	27	36	35.000	27.000	36.000
178	1	sp|A2AJQ3|D19L4_MOUSE	 	 	 	 	4.8	722	83603	Probable C-mannosyltransferase DPY19L4 OS=Mus musculus OX=10090 GN=Dpy19l4 PE=2 SV=1	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
179	1	sp|A2AJT4|PNISR_MOUSE	 	 	 	 	4.3	805	92114	Arginine/serine-rich protein PNISR OS=Mus musculus OX=10090 GN=Pnisr PE=1 SV=1	5	5	1.000	1	2	2	1	2	2	1.000	2.000	2.000
180	1	sp|A2AKG8|FOCAD_MOUSE	 	 	 	 	10.0	1798	198948	Focadhesin OS=Mus musculus OX=10090 GN=Focad PE=1 SV=1	34	34	1.000	11	11	12	11	11	12	11.000	11.000	12.000
181	1	sp|A2AKK5|ACNT1_MOUSE	 	 	sp|A2AKK5|ACNT1_MOUSE, sp|Q8BGG9|ACNT2_MOUSE	 	34.4	416	46070	Acyl-coenzyme A amino acid N-acyltransferase 1 OS=Mus musculus OX=10090 GN=Acnat1 PE=1 SV=1	73	21	0.288	27	24	22	7	8	6	22.556	20.800	16.667
182	1	sp|A2AKQ0|S35D1_MOUSE	 	 	 	 	11.8	355	39272	Nucleotide sugar transporter SLC35D1 OS=Mus musculus OX=10090 GN=Slc35d1 PE=2 SV=2	15	15	1.000	5	6	4	5	6	4	5.000	6.000	4.000
183	1	sp|A2AKX3|SETX_MOUSE	 	 	 	 	1.2	2646	297586	Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1	7	7	1.000	3	2	2	3	2	2	3.000	2.000	2.000
184	1	sp|A2ALU4|SHRM2_MOUSE	 	 	 	 	6.1	1481	164701	Protein Shroom2 OS=Mus musculus OX=10090 GN=Shroom2 PE=1 SV=1	15	15	1.000	7	4	4	7	4	4	7.000	4.000	4.000
185	1	sp|A2ALW5|DJC25_MOUSE	 	 	 	 	16.8	357	41937	DnaJ homolog subfamily C member 25 OS=Mus musculus OX=10090 GN=Dnajc25 PE=1 SV=1	18	18	1.000	6	4	8	6	4	8	6.000	4.000	8.000
186	1	sp|A2AM05|CNTLN_MOUSE	 	 	 	 	1.4	1397	160745	Centlein OS=Mus musculus OX=10090 GN=Cntln PE=1 SV=1	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
187	1	sp|A2AN08|UBR4_MOUSE	 	 	 	 	17.8	5180	572283	E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1	203	203	1.000	68	66	69	68	66	69	68.000	66.000	69.000
188	1	sp|A2APT9|KLD7A_MOUSE	 	 	 	 	7.2	773	83589	Kelch domain-containing protein 7A OS=Mus musculus OX=10090 GN=Klhdc7a PE=1 SV=3	10	10	1.000	5	3	2	5	3	2	5.000	3.000	2.000
189	1	sp|A2APV2|FMNL2_MOUSE	 	 	sp|A2APV2|FMNL2_MOUSE, sp|Q6ZPF4|FMNL3_MOUSE	 	3.0	1086	123100	Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2 PE=1 SV=2	9	3	0.333	3	3	3	1	1	1	2.000	3.000	2.000
190	1	sp|A2APY7|NDUF5_MOUSE	 	 	 	 	10.8	343	38404	Arginine-hydroxylase NDUFAF5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf5 PE=1 SV=1	7	7	1.000	3	3	1	3	3	1	3.000	3.000	1.000
191	1	sp|A2AQ07|TBB1_MOUSE	 	 	sp|A2AQ07|TBB1_MOUSE, sp|P68372|TBB4B_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE, sp|Q922F4|TBB6_MOUSE, sp|Q9D6F9|TBB4A_MOUSE, sp|Q9ERD7|TBB3_MOUSE	 	18.6	451	50440	Tubulin beta-1 chain OS=Mus musculus OX=10090 GN=Tubb1 PE=1 SV=1	83	5	0.060	25	29	29	2	1	2	2.658	1.895	2.773
192	1	sp|A2AQ19|RTF1_MOUSE	 	 	 	 	12.3	715	80796	RNA polymerase-associated protein RTF1 homolog OS=Mus musculus OX=10090 GN=Rtf1 PE=1 SV=1	18	18	1.000	5	6	7	5	6	7	5.000	6.000	7.000
193	1	sp|A2AQ25|SKT_MOUSE	 	 	 	 	5.0	1946	213034	Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1	12	12	1.000	5	3	4	5	3	4	5.000	3.000	4.000
194	1	sp|A2AQP0|MYH7B_MOUSE	 	 	sp|A2AQP0|MYH7B_MOUSE, sp|G3UW82|MYH2_MOUSE, sp|O08638|MYH11_MOUSE, sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q6URW6|MYH14_MOUSE, sp|Q8VDD5|MYH9_MOUSE, sp|Q91Z83|MYH7_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|E9Q264|E9Q264_MOUSE	 	3.7	1941	221494	Myosin-7B OS=Mus musculus OX=10090 GN=Myh7b PE=3 SV=1	14	2	0.143	1	12	1	1	1	0	1.000	1.330	0.002
195	1	sp|A2ARA8|ITA8_MOUSE	 	 	 	 	1.8	1062	117554	Integrin alpha-8 OS=Mus musculus OX=10090 GN=Itga8 PE=1 SV=1	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
196	1	sp|A2ARP1|VIP1_MOUSE	 	 	sp|A2ARP1|VIP1_MOUSE, sp|Q6ZQB6|VIP2_MOUSE	 	2.8	1436	159921	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Mus musculus OX=10090 GN=Ppip5k1 PE=1 SV=1	6	1	0.167	2	3	1	1	0	0	1.125	0.000	0.000
197	1	sp|A2AS89|GDAH_MOUSE	 	 	 	 	31.8	358	38255	Guanidino acid hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Agmat PE=1 SV=1	105	105	1.000	35	31	39	35	31	39	35.000	31.000	39.000
198	1	sp|A2ASQ1|AGRIN_MOUSE	 	 	 	 	8.6	1950	207537	Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	25	25	1.000	6	7	12	6	7	12	6.000	7.000	12.000
199	1	sp|A2ASS6|TITIN_MOUSE	 	 	sp|A2ASS6|TITIN_MOUSE, sp|Q6PGC1|DHX29_MOUSE, sp|Q8C5W0|CLMN_MOUSE	 	2.7	35213	3906440	Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	91	86	0.945	4	80	7	2	79	5	2.171	79.798	5.385
200	1	sp|A2ASZ8|SCMC2_MOUSE	 	 	sp|A2ASZ8|SCMC2_MOUSE, sp|Q6GQS1|SCMC3_MOUSE	 	17.9	469	52620	Mitochondrial adenyl nucleotide antiporter SLC25A25 OS=Mus musculus OX=10090 GN=Slc25a25 PE=1 SV=1	22	17	0.773	5	8	9	4	6	7	4.222	6.667	7.700
201	1	sp|A2AT37|RENT2_MOUSE	 	 	 	 	12.5	1269	147551	Regulator of nonsense transcripts 2 OS=Mus musculus OX=10090 GN=Upf2 PE=1 SV=1	34	34	1.000	13	12	9	13	12	9	13.000	12.000	9.000
202	1	sp|A2ATU0|DHTK1_MOUSE	 	 	 	 	40.5	921	102792	2-oxoadipate dehydrogenase complex component E1 OS=Mus musculus OX=10090 GN=Dhtkd1 PE=1 SV=1	148	148	1.000	44	54	50	44	54	50	44.000	54.000	50.000
203	1	sp|A2AUM9|CE152_MOUSE	 	 	 	 	0.9	1736	196531	Centrosomal protein of 152 kDa OS=Mus musculus OX=10090 GN=Cep152 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
204	1	sp|A2AVZ9|S43A3_MOUSE	 	 	 	 	3.4	502	56033	Equilibrative nucleobase transporter 1 OS=Mus musculus OX=10090 GN=Slc43a3 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
205	1	sp|A2AWA9|RBGP1_MOUSE	 	 	sp|A2AWA9|RBGP1_MOUSE, sp|A6H6A9|RBG1L_MOUSE	 	11.8	1064	120796	Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1	24	21	0.875	11	5	8	10	4	7	10.714	4.500	7.636
206	1	sp|A2AWP8|ARGAL_MOUSE	 	 	 	 	8.0	1280	139985	Rho guanine nucleotide exchange factor 10-like protein OS=Mus musculus OX=10090 GN=Arhgef10l PE=1 SV=1	19	19	1.000	7	4	8	7	4	8	7.000	4.000	8.000
207	1	sp|A2AWR3|LYCHS_MOUSE	 	 	 	 	4.0	868	96346	Lysosomal cholesterol signaling protein OS=Mus musculus OX=10090 GN=Gpr155 PE=2 SV=1	4	4	1.000	3	0	1	3	0	1	3.000	0.000	1.000
208	1	sp|A2AX52|CO6A4_MOUSE	 	 	 	 	1.3	2309	250795	Collagen alpha-4(VI) chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
209	1	sp|A2BDX3|MOCS3_MOUSE	 	 	 	 	23.0	460	49374	Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus OX=10090 GN=Mocs3 PE=1 SV=1	26	26	1.000	8	9	9	8	9	9	8.000	9.000	9.000
210	1	sp|A2BE28|LAS1L_MOUSE	 	 	 	 	7.1	776	89413	Ribosomal biogenesis protein LAS1L OS=Mus musculus OX=10090 GN=Las1l PE=1 SV=1	7	7	1.000	3	1	3	3	1	3	3.000	1.000	3.000
211	1	sp|A2BH40|ARI1A_MOUSE	 	 	sp|A2BH40|ARI1A_MOUSE, sp|E9Q4N7|ARI1B_MOUSE, sp|P10107|ANXA1_MOUSE	 	7.6	2283	242089	AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1	22	15	0.682	7	8	7	4	5	6	5.148	6.884	6.261
212	1	sp|A2CG49|KALRN_MOUSE	 	 	 	 	1.2	2964	336996	Kalirin OS=Mus musculus OX=10090 GN=Kalrn PE=1 SV=1	7	7	1.000	1	3	3	1	3	3	1.000	3.000	3.000
213	1	sp|A2RSJ4|BLT3B_MOUSE	 	 	 	 	12.3	1457	161938	Bridge-like lipid transfer protein family member 3B OS=Mus musculus OX=10090 GN=Bltp3b PE=1 SV=2	31	31	1.000	10	13	8	10	13	8	10.000	13.000	8.000
214	1	sp|A2RSQ0|DEN5B_MOUSE	 	 	 	 	11.6	1274	144627	DENN domain-containing protein 5B OS=Mus musculus OX=10090 GN=Dennd5b PE=1 SV=2	31	31	1.000	10	12	9	10	12	9	10.000	12.000	9.000
215	1	sp|A2RSY6|TRM1L_MOUSE	 	 	 	 	10.4	728	80860	TRMT1-like protein OS=Mus musculus OX=10090 GN=Trmt1l PE=1 SV=1	16	16	1.000	6	4	6	6	4	6	6.000	4.000	6.000
216	1	sp|A2RTL5|RSRC2_MOUSE	 	 	 	 	5.6	376	43876	Arginine/serine-rich coiled-coil protein 2 OS=Mus musculus OX=10090 GN=Rsrc2 PE=2 SV=1	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
217	1	sp|A3KGB4|TBC8B_MOUSE	 	 	sp|A3KGB4|TBC8B_MOUSE, sp|O08585|CLCA_MOUSE, sp|Q9Z1A9|TBCD8_MOUSE	 	21.2	1114	127891	TBC1 domain family member 8B OS=Mus musculus OX=10090 GN=Tbc1d8b PE=1 SV=1	48	39	0.812	18	15	15	15	12	12	17.188	13.714	14.186
218	1	sp|A3KGS3|RGPA2_MOUSE	 	 	 	 	3.2	1872	210286	Ral GTPase-activating protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Ralgapa2 PE=1 SV=2	8	8	1.000	2	3	3	2	3	3	2.000	3.000	3.000
219	1	sp|A3KMP2|TTC38_MOUSE	 	 	 	 	40.4	465	52223	Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 GN=Ttc38 PE=1 SV=2	94	94	1.000	30	30	34	30	30	34	30.000	30.000	34.000
220	1	sp|A6H584|CO6A5_MOUSE	 	 	sp|A6H584|CO6A5_MOUSE, sp|Q8C6K9|CO6A6_MOUSE	 	6.4	2640	289571	Collagen alpha-5(VI) chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4	24	22	0.917	10	5	9	9	5	8	10.000	5.000	8.800
221	1	sp|A6H5Y3|METH_MOUSE	 	 	 	 	4.9	1253	139067	Methionine synthase OS=Mus musculus OX=10090 GN=Mtr PE=1 SV=1	8	8	1.000	5	2	1	5	2	1	5.000	2.000	1.000
222	1	sp|A6H5Z3|EXC6B_MOUSE	 	 	sp|A6H5Z3|EXC6B_MOUSE, sp|Q8R313|EXOC6_MOUSE	 	9.1	810	94129	Exocyst complex component 6B OS=Mus musculus OX=10090 GN=Exoc6b PE=1 SV=1	15	12	0.800	6	4	5	5	3	4	5.556	3.273	4.444
223	1	sp|A6H611|MIPEP_MOUSE	 	 	 	 	28.1	711	80851	Mitochondrial intermediate peptidase OS=Mus musculus OX=10090 GN=Mipep PE=1 SV=1	40	40	1.000	15	13	12	15	13	12	15.000	13.000	12.000
224	1	sp|A6H619|PHRF1_MOUSE	 	 	sp|A6H619|PHRF1_MOUSE, sp|Q5U4C3|SFR19_MOUSE	 	1.0	1682	184078	PHD and RING finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phrf1 PE=1 SV=2	4	1	0.250	2	1	1	1	0	0	1.333	0.000	0.000
225	1	sp|A6H630|ARMT1_MOUSE	 	 	 	 	21.9	439	50548	Damage-control phosphatase ARMT1 OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1	31	31	1.000	11	10	10	11	10	10	11.000	10.000	10.000
226	1	sp|A6H6A9|RBG1L_MOUSE	 	 	sp|A2AWA9|RBGP1_MOUSE, sp|A6H6A9|RBG1L_MOUSE	 	13.1	815	92403	Rab GTPase-activating protein 1-like OS=Mus musculus OX=10090 GN=Rabgap1l PE=1 SV=1	15	12	0.800	5	5	5	4	4	4	4.286	4.500	4.364
227	1	sp|A6H6E2|MMRN2_MOUSE	 	 	 	 	4.3	943	105205	Multimerin-2 OS=Mus musculus OX=10090 GN=Mmrn2 PE=1 SV=1	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
228	1	sp|A6H8H2|DEN4C_MOUSE	 	 	 	 	12.5	1906	211456	DENN domain-containing protein 4C OS=Mus musculus OX=10090 GN=Dennd4c PE=1 SV=1	43	43	1.000	16	14	13	16	14	13	16.000	14.000	13.000
229	1	sp|A6X919|D19L1_MOUSE	 	 	 	 	13.7	746	84186	Protein C-mannosyl-transferase DPY19L1 OS=Mus musculus OX=10090 GN=Dpy19l1 PE=1 SV=1	16	16	1.000	5	6	5	5	6	5	5.000	6.000	5.000
230	1	sp|A6X935|ITIH4_MOUSE	 	 	 	 	31.7	942	104658	Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=2	101	101	1.000	39	31	31	39	31	31	39.000	31.000	31.000
231	1	sp|A7MCT6|EKI2_MOUSE	 	 	sp|A7MCT6|EKI2_MOUSE, sp|Q9D4V0|EKI1_MOUSE	 	23.4	385	44567	Ethanolamine kinase 2 OS=Mus musculus OX=10090 GN=Etnk2 PE=1 SV=1	33	30	0.909	9	12	12	8	11	11	8.889	11.846	11.917
232	1	sp|A8C756|THADA_MOUSE	 	 	 	 	3.6	1938	217287	tRNA (32-2'-O)-methyltransferase regulator THADA OS=Mus musculus OX=10090 GN=Thada PE=1 SV=1	13	13	1.000	6	3	4	6	3	4	6.000	3.000	4.000
233	1	sp|A9JSM3|TM238_MOUSE	 	 	 	 	11.4	176	18226	Transmembrane protein 238 OS=Mus musculus OX=10090 GN=Tmem238 PE=2 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
235	1	sp|B1AR13|CISD3_MOUSE	 	 	 	 	35.0	137	15676	CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Cisd3 PE=1 SV=1	16	16	1.000	5	5	6	5	5	6	5.000	5.000	6.000
236	1	sp|B1AUE5|PEX10_MOUSE	 	 	 	 	20.4	324	37157	Peroxisome biogenesis factor 10 OS=Mus musculus OX=10090 GN=Pex10 PE=2 SV=1	19	19	1.000	7	5	7	7	5	7	7.000	5.000	7.000
237	1	sp|B1AVZ0|UPP_MOUSE	 	 	 	 	10.6	310	34278	Uracil phosphoribosyltransferase homolog OS=Mus musculus OX=10090 GN=Uprt PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
